PID,Pred_Sequence
1,"[[100], [], [98], [], [], [], [], [], [], [], [], [], [], [13], [], [48], [78], [115], [48], [], [78], [], [100], [], [], [], [], [78], [48], [], [78], [48], [], [], [], [], [], [], [], [], [98], [], [78], [], [13], [13], [], [], [], [], [], [], [115], [], [48], [], [13], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [13], [13], [13], [13], [], [], [], [], [], [], [], [], [], [], [], [], [], [100], [], [78], [48], [], [98], [13], [], [13], [], [], [], [], [], [115], [78], [48], [], [98], [], [78], [48], [], [], [], [115]]"
2,[[0]]
3,"[[], [], [], [78], [], [], [], [], [100], [], [78], [], [48], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [48], [], [], [98], [13], [], [], [], [98], [], [], [], [], [], [], [], [], [], [], [], [], [], [78], [48], [78], [], [], [], [], [100], [], [78], [48], [98], [78], [48], [], [], [13], [115], [13], [13], [], [13], [13], [13], [13], [13], [], [13]]"
4,"[[], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [119], [97], [97], [97], [97], [97], [119], [48], [], [97], [], [97], [48], [], [], [], [97], [97], [], [119], [48], [], [97], [], [97], [], [97], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [119], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [119], [], [97], [], [48], [119], [97], [97], [97], [97], [], [48], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [97], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [13], [], [], [13], [13], [13], [48], [97], [], [119], [97], [97], [97], [97], [119], [48], [], [13], [97], [], [97], [48], [13], [13], [13], [13], [13], [13], [13], [13], [13], [97], [13], [97], [13], [48], [13], [], [13], [97], [48], [119], [97], [97], [97], [], [], [13], [119], [], [], [], [97], [], [], [], [], [], [], [13], [], [], [], [], [], [], [], []]"
5,"[[], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [97], [], [97], [97], [], [119], [13], [], [], [48], [], [], [], [], [], [], [], [], [], [], [], [], [13], [13], [13], [], [], [], [], [], [], [], [], [13], [], [], [], [], [], [], [13], [13], [13], [13], [], [], [13], [], [13], [13], [13], [13], [13], [], [97], [97], [], [97], [119], [13], [13], [], [], [], [97], [97], [119], [13], [13], [13], [13], [13], [13], [], [], [13], [], [], [], [97], [48], [13], [], [48], [119], [97], [97], [97], [97], [], [13], [97], [], [13], [13], [], [], [], [], [], [], [97], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [119], [48], [], [97], [97], [48], [], [], [97], [13], [], [], [], [], [], [], [], [13], []]"
6,"[[], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [13], [13], [13], [13], [], [], [], [], [], [], [], [], [2], [48], [], [2], [78], [48], [13], [], [], [], [13], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [13], [13], [97], [13], [13], [78], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], []]"
7,[[0]]
8,"[[], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [13], [], [], [], [97], [97], [97], [48], [13], [13], [13], [13], [13], [119], [], [13], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [48], [], [97], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [119], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [97], [119], [48], [13], [13], [13], [13], [97], [], [97], [97], [], [], [], [], [], [13], [], [13], [13], [13], [], [], [], [], [], [], [], [], [], [], [], [], [48], [], [97], [], [97], [], [13], [119], [], [], [], [], [], [], [], [], [48], [], [], [119], [], [13], [97], [13], [13], [13], [97], [119], [97], [97], [97], [97], [48]]"
9,"[[84], [], [], [], [], [], [], [], [101], [], [], [], [29], [129], [], [134], [49], [], [124], [], [30], [29], [30], [], [29], [], [30], [5], [], [20], [29], [5], [134], [], [30], [5], [], [57], [], [], [], [30]]"
10,[[0]]
